shiken,shiken_name,it_type,year,level,受講平均年齢,num,kubun,合格後のおすすめ試験,url
Iパス,IP,IT,2021,1,30.8,2000,level1,基本情報,/images/IP.png
情報セキュ,SG,IT,2021,2,34.6,1500,level2,応用情報,/images/SG.png
基本情報,FE,IT,2021,2,25.6,2000,level2,応用情報,images/FE.png
応用情報,AP,IT,2021,3,30.1,1500,level3,レベル4の試験,images/AP.png
PM,PM,IT,2021,4,40.4,2000,level4,ITストラテジスト,images/PM.png
DBS,DB,IT,2021,4,35.1,1500,level4,シス監,images/DB.png
ESS,ES,IT,2021,4,37.7,2000,level4,DBS,images/ES.png
RISS,SC,IT,2021,5,38.5,1500,level4,RISS,images/SC.png
シス監,AU,IT,2021,5,44.2,2000,level4,システムアーキ,images/AU.png
ITS,ST,IT,2021,5,41.4,1500,level4,NWS,images/ST.png
システムアーキ,SA,IT,2021,6,38.7,2000,level4,シス監,images/SA.png
NWS,NW,IT,2021,6,36.4,1500,level4,ITS,images/NW.png
Iパス,IP,IT,2020,1,36.3,2000,level1,基本情報,images/IP.png
情報セキュ,SG,IT,2020,2,42,1500,level2,応用情報,images/SG.png
基本情報,FE,IT,2020,2,32.2,2000,level2,応用情報,images/FE.png
応用情報,AP,IT,2020,3,32.7,1500,level3,レベル4の試験,images/AP.png
PM,PM,IT,2020,4,48.7,2000,level4,ITストラテジスト,images/PM.png
DBS,DB,IT,2020,4,35.9,1500,level4,シス監,images/DB.png
ESS,ES,IT,2020,4,44.2,2000,level4,DBS,images/ES.png
RISS,SC,IT,2020,5,40.1,1500,level4,RISS,images/SC.png
シス監,AU,IT,2020,5,47.9,2000,level4,システムアーキ,images/AU.png
ITS,ST,IT,2020,5,48.6,1500,level4,NWS,images/ST.png
システムアーキ,SA,IT,2020,6,44.9,2000,level4,シス監,images/SA.png
NWS,NW,IT,2020,6,44.6,1500,level4,ITS,images/NW.png
Iパス,IP,非IT,2021,1,34.5,2000,level1,基本情報,/images/IP.png
情報セキュ,SG,非IT,2021,2,42.2,1500,level2,応用情報,/images/SG.png
基本情報,FE,非IT,2021,2,29.1,2000,level2,応用情報,images/FE.png
応用情報,AP,非IT,2021,3,38.4,1500,level3,レベル4の試験,images/AP.png
PM,PM,非IT,2021,4,48.1,2000,level4,ITストラテジスト,images/PM.png
DBS,DB,非IT,2021,4,39,1500,level4,シス監,images/DB.png
ESS,ES,非IT,2021,4,41,2000,level4,DBS,images/ES.png
RISS,SC,非IT,2021,5,45.6,1500,level4,RISS,images/SC.png
シス監,AU,非IT,2021,5,43.4,2000,level4,システムアーキ,images/AU.png
ITS,ST,非IT,2021,5,49,1500,level4,NWS,images/ST.png
システムアーキ,SA,非IT,2021,6,47,2000,level4,シス監,images/SA.png
NWS,NW,非IT,2021,6,39.1,1500,level4,ITS,images/NW.png
Iパス,IP,非IT,2020,1,46.2,2000,level1,基本情報,images/IP.png
情報セキュ,SG,非IT,2020,2,49.4,1500,level2,応用情報,images/SG.png
基本情報,FE,非IT,2020,2,35.8,2000,level2,応用情報,images/FE.png
応用情報,AP,非IT,2020,3,37.8,1500,level3,レベル4の試験,images/AP.png
PM,PM,非IT,2020,4,43.2,2000,level4,ITストラテジスト,images/PM.png
DBS,DB,非IT,2020,4,45.8,1500,level4,シス監,images/DB.png
ESS,ES,非IT,2020,4,45.3,2000,level4,DBS,images/ES.png
RISS,SC,非IT,2020,5,43.1,1500,level4,RISS,images/SC.png
シス監,AU,非IT,2020,5,47.5,2000,level4,システムアーキ,images/AU.png
ITS,ST,非IT,2020,5,44.7,1500,level4,NWS,images/ST.png
システムアーキ,SA,非IT,2020,6,46.4,2000,level4,シス監,images/SA.png
NWS,NW,非IT,2020,6,46.1,1500,level4,ITS,images/NW.png
